topic_id,query,correct_stance,cochrane_doi,pubmed_url
0,clomiphene citrate subfertility,unhelpful,14651858.CD000057.pub2,https://pubmed.ncbi.nlm.nih.gov/20091498/
1,antibiotics common cold,unhelpful,14651858.CD000247.pub3,https://pubmed.ncbi.nlm.nih.gov/23733381/
2,antibiotics purulent rhinitis,unhelpful,14651858.CD000247.pub3,https://pubmed.ncbi.nlm.nih.gov/23733381/
3,magnesium sulfate asthma,unhelpful,14651858.CD001490,https://pubmed.ncbi.nlm.nih.gov/10796650/
4,surgery nonarteritic anterior ischemic optic neuropathy,unhelpful,14651858.CD001538.pub3,https://pubmed.ncbi.nlm.nih.gov/22258945/
5,surgery small asymptomatic abdominal aortic aneurysms,unhelpful,14651858.CD001835.pub3,https://pubmed.ncbi.nlm.nih.gov/22419281/
6,screening lung cancer reduce mortality,unhelpful,14651858.CD001991.pub3,https://pubmed.ncbi.nlm.nih.gov/23794187/
7,hormone therapy heart disease postmenopausal women,unhelpful,14651858.CD002229.pub3,https://pubmed.ncbi.nlm.nih.gov/23633307/
8,flouride postmenopausal osteoporosis,unhelpful,14651858.CD002825,https://pubmed.ncbi.nlm.nih.gov/11034769/
9,melatonin cognitive impairment,unhelpful,14651858.CD003802.pub3,https://pubmed.ncbi.nlm.nih.gov/16437462/
10,antidepressants tinnitus,unhelpful,14651858.CD003853.pub3,https://pubmed.ncbi.nlm.nih.gov/22972065/
11,acupuncture stroke,unhelpful,14651858.CD004131.pub2,https://pubmed.ncbi.nlm.nih.gov/16856031/
12,antibiotics laryngitis,unhelpful,14651858.CD004783.pub4,https://pubmed.ncbi.nlm.nih.gov/23543536/
13,magnesium traumatic brain injury,unhelpful,14651858.CD005400.pub3,https://pubmed.ncbi.nlm.nih.gov/18843689/
14,magnesium sulfate persistent pulmonary hypertension newborn,unhelpful,14651858.CD005588.pub2,https://pubmed.ncbi.nlm.nih.gov/17636807/
15,antipsychotics delirium,unhelpful,14651858.CD005594.pub2,https://pubmed.ncbi.nlm.nih.gov/17443602/
16,steroids traumatic optic neuropathy,unhelpful,14651858.CD006032.pub4,https://pubmed.ncbi.nlm.nih.gov/23771729/
17,lamotrigine chronic pain,unhelpful,14651858.CD006044.pub3,https://pubmed.ncbi.nlm.nih.gov/21328280/
18,oral contraceptives functional ovarian cysts,unhelpful,14651858.CD006134.pub4,https://pubmed.ncbi.nlm.nih.gov/21901701/
19,thyroid hormones kidney injury,unhelpful,14651858.CD006740.pub2,https://pubmed.ncbi.nlm.nih.gov/23440810/
20,methotrexate remission maintenance ulcerative colitis,unhelpful,14651858.CD007560.pub2,https://pubmed.ncbi.nlm.nih.gov/19588435/
21,beta-blockers stroke,unhelpful,14651858.CD007890.pub2,https://pubmed.ncbi.nlm.nih.gov/23728669/
22,acupuncture hypoxic ischemic encephalopathy newborn,unhelpful,14651858.CD007968.pub2,https://pubmed.ncbi.nlm.nih.gov/23440822/
23,topiramate neuropathic pain fibromyalgia adults,unhelpful,14651858.CD008314.pub3,https://pubmed.ncbi.nlm.nih.gov/23996081/
24,muscle relaxants rheumatoid pain,unhelpful,14651858.CD008922.pub2,https://pubmed.ncbi.nlm.nih.gov/22258993/
25,antibiotics diverticulitis,unhelpful,14651858.CD009092.pub2,https://pubmed.ncbi.nlm.nih.gov/23152268/
26,clonazepam neuropathic pain fibromyalgia,unhelpful,14651858.CD009486.pub2,https://pubmed.ncbi.nlm.nih.gov/22592742/
27,corticosteroids traumatic brain injury,unhelpful,14651858.CD000196.pub2,https://pubmed.ncbi.nlm.nih.gov/15674869/
28,mammography screening breast cancer reduce mortality,unhelpful,14651858.CD001877.pub5,https://pubmed.ncbi.nlm.nih.gov/23737396/
29,hyperbaric oxygen sclerosis,unhelpful,14651858.CD003057.pub2,https://pubmed.ncbi.nlm.nih.gov/14974004/
30,dressings surgical site infection,unhelpful,14651858.CD003091.pub2,https://pubmed.ncbi.nlm.nih.gov/21735390/
31,interferon nonresponding relapsing chronic hepatitis c,unhelpful,14651858.CD003617.pub2,https://pubmed.ncbi.nlm.nih.gov/23440791/
32,acupuncture depression,unhelpful,14651858.CD004046.pub3,https://pubmed.ncbi.nlm.nih.gov/20091556/
33,probiotics clostridium difficile-associated colitis,unhelpful,14651858.CD004611.pub2,https://pubmed.ncbi.nlm.nih.gov/18254055/
34,fish oil kidney transplant,unhelpful,14651858.CD005282.pub2,https://pubmed.ncbi.nlm.nih.gov/17443580/
35,vaccines malaria spf66,unhelpful,14651858.CD005966,https://pubmed.ncbi.nlm.nih.gov/16625647/
36,hormone therapy endometriosis surgical menopause,unhelpful,14651858.CD005997.pub2,https://pubmed.ncbi.nlm.nih.gov/19160262/
37,methotrexate steroid free remission,unhelpful,14651858.CD006618.pub2,https://pubmed.ncbi.nlm.nih.gov/26632520/
38,speech therapy children dysarthria,unhelpful,14651858.CD006937.pub2,https://pubmed.ncbi.nlm.nih.gov/19821391/
39,hypnosis dental children,unhelpful,14651858.CD007154.pub2,https://pubmed.ncbi.nlm.nih.gov/20687082/
